Training
1 hidden layer, 0.1 learning rate, 50 epochs
>epoch=0, lrate=0.100, error=423.886
>epoch=1, lrate=0.100, error=17.823
>epoch=2, lrate=0.100, error=10.352
>epoch=3, lrate=0.100, error=7.320
>epoch=4, lrate=0.100, error=5.665
>epoch=5, lrate=0.100, error=4.622
>epoch=6, lrate=0.100, error=3.903
>epoch=7, lrate=0.100, error=3.378
>epoch=8, lrate=0.100, error=2.978
>epoch=9, lrate=0.100, error=2.662
>epoch=10, lrate=0.100, error=2.407
>epoch=11, lrate=0.100, error=2.196
>epoch=12, lrate=0.100, error=2.019
>epoch=13, lrate=0.100, error=1.869
>epoch=14, lrate=0.100, error=1.739
>epoch=15, lrate=0.100, error=1.627
>epoch=16, lrate=0.100, error=1.528
>epoch=17, lrate=0.100, error=1.440
>epoch=18, lrate=0.100, error=1.362
>epoch=19, lrate=0.100, error=1.292
>epoch=20, lrate=0.100, error=1.228
>epoch=21, lrate=0.100, error=1.171
>epoch=22, lrate=0.100, error=1.119
>epoch=23, lrate=0.100, error=1.071
>epoch=24, lrate=0.100, error=1.027
>epoch=25, lrate=0.100, error=0.987
>epoch=26, lrate=0.100, error=0.949
>epoch=27, lrate=0.100, error=0.915
>epoch=28, lrate=0.100, error=0.883
>epoch=29, lrate=0.100, error=0.853
>epoch=30, lrate=0.100, error=0.825
>epoch=31, lrate=0.100, error=0.798
>epoch=32, lrate=0.100, error=0.774
>epoch=33, lrate=0.100, error=0.750
>epoch=34, lrate=0.100, error=0.729
>epoch=35, lrate=0.100, error=0.708
>epoch=36, lrate=0.100, error=0.689
>epoch=37, lrate=0.100, error=0.670
>epoch=38, lrate=0.100, error=0.653
>epoch=39, lrate=0.100, error=0.636
>epoch=40, lrate=0.100, error=0.620
>epoch=41, lrate=0.100, error=0.605
>epoch=42, lrate=0.100, error=0.591
>epoch=43, lrate=0.100, error=0.578
>epoch=44, lrate=0.100, error=0.565
>epoch=45, lrate=0.100, error=0.552
>epoch=46, lrate=0.100, error=0.540
>epoch=47, lrate=0.100, error=0.529
>epoch=48, lrate=0.100, error=0.518
>epoch=49, lrate=0.100, error=0.507

3 hidden layers, 0.1 learning rate, 50 epochs
>epoch=0, lrate=0.100, error=358.061
>epoch=1, lrate=0.100, error=8.838
>epoch=2, lrate=0.100, error=5.144
>epoch=3, lrate=0.100, error=3.641
>epoch=4, lrate=0.100, error=2.820
>epoch=5, lrate=0.100, error=2.302
>epoch=6, lrate=0.100, error=1.944
>epoch=7, lrate=0.100, error=1.683
>epoch=8, lrate=0.100, error=1.484
>epoch=9, lrate=0.100, error=1.327
>epoch=10, lrate=0.100, error=1.200
>epoch=11, lrate=0.100, error=1.095
>epoch=12, lrate=0.100, error=1.007
>epoch=13, lrate=0.100, error=0.932
>epoch=14, lrate=0.100, error=0.868
>epoch=15, lrate=0.100, error=0.811
>epoch=16, lrate=0.100, error=0.762
>epoch=17, lrate=0.100, error=0.718
>epoch=18, lrate=0.100, error=0.679
>epoch=19, lrate=0.100, error=0.644
>epoch=20, lrate=0.100, error=0.613
>epoch=21, lrate=0.100, error=0.584
>epoch=22, lrate=0.100, error=0.558
>epoch=23, lrate=0.100, error=0.534
>epoch=24, lrate=0.100, error=0.513
>epoch=25, lrate=0.100, error=0.492
>epoch=26, lrate=0.100, error=0.474
>epoch=27, lrate=0.100, error=0.457
>epoch=28, lrate=0.100, error=0.441
>epoch=29, lrate=0.100, error=0.426
>epoch=30, lrate=0.100, error=0.412
>epoch=31, lrate=0.100, error=0.398
>epoch=32, lrate=0.100, error=0.386
>epoch=33, lrate=0.100, error=0.375
>epoch=34, lrate=0.100, error=0.364
>epoch=35, lrate=0.100, error=0.353
>epoch=36, lrate=0.100, error=0.344
>epoch=37, lrate=0.100, error=0.335
>epoch=38, lrate=0.100, error=0.326
>epoch=39, lrate=0.100, error=0.318
>epoch=40, lrate=0.100, error=0.310
>epoch=41, lrate=0.100, error=0.302
>epoch=42, lrate=0.100, error=0.295
>epoch=43, lrate=0.100, error=0.288
>epoch=44, lrate=0.100, error=0.282
>epoch=45, lrate=0.100, error=0.276
>epoch=46, lrate=0.100, error=0.270
>epoch=47, lrate=0.100, error=0.264
>epoch=48, lrate=0.100, error=0.259
>epoch=49, lrate=0.100, error=0.253

5 hidden layers, 0.2 learning rate, 25 epochs
>epoch=0, lrate=0.200, error=252.996
>epoch=1, lrate=0.200, error=2.921
>epoch=2, lrate=0.200, error=1.704
>epoch=3, lrate=0.200, error=1.207
>epoch=4, lrate=0.200, error=0.936
>epoch=5, lrate=0.200, error=0.764
>epoch=6, lrate=0.200, error=0.646
>epoch=7, lrate=0.200, error=0.559
>epoch=8, lrate=0.200, error=0.493
>epoch=9, lrate=0.200, error=0.441
>epoch=10, lrate=0.200, error=0.399
>epoch=11, lrate=0.200, error=0.364
>epoch=12, lrate=0.200, error=0.335
>epoch=13, lrate=0.200, error=0.310
>epoch=14, lrate=0.200, error=0.288
>epoch=15, lrate=0.200, error=0.270
>epoch=16, lrate=0.200, error=0.253
>epoch=17, lrate=0.200, error=0.239
>epoch=18, lrate=0.200, error=0.226
>epoch=19, lrate=0.200, error=0.214
>epoch=20, lrate=0.200, error=0.204
>epoch=21, lrate=0.200, error=0.194
>epoch=22, lrate=0.200, error=0.186
>epoch=23, lrate=0.200, error=0.178
>epoch=24, lrate=0.200, error=0.171
